company name,location

"Acquia, Inc","['53 State Street Boston, MA 02109', '10th Floor Boston, MA 02109']"

Acrolinx GmbH,"['Suite 240 Waltham, MA 02451', 'Waltham, MA 02451 United States']"

"Act-On Software, Inc.","['121 SW Morrison St.Suite 1600Portland, OR 97204']"

Aquafadas,"['Experts in digital content publishing and mobile apps Home About us Our tools Downloads Case studies Blog Contact us Press enter to begin your search Hello, we']"

"Aria Systems, Inc.","['Suite 2450 San Francisco, CA 94111', 'Suite 302 Broomall, PA 19008']"

Atex,"['Asemakatu 37 A Third floor 90120', '30, Six Battery Road Singapore 04990', 'Wookey Hole Road Wells, BA5 1AF', 'Global HQ Stockholm Sweden Tulegatan 45 11353 Stockholm, Sweden', 'Milan Italy Via Benigno Crespi N. 19 20159 Milan, Italy', 'Oulu Finland Asemakatu 37 A Third floor 90120 Oulu, Finland']"

Clarabridge,"['Drive Suite 500 Reston, VA 20191', 'S Clark Street Chicago, IL 60603', 'Drive 2nd Floor Petaluma, CA 94954', 'California Street San Francisco, CA 94108', '125 S Clark Street Chicago, IL 60603', '600 California Street San Francisco, CA 94108']"

"Cloudwords, Inc.","['Suite 1350San Francisco, CA 94111']"

Connotate,"['Bascom Avenue Campbell, CA 95008']"

Crafter Software Corp.,"['Alexander Bell DriveSuite 400Reston, VA 20191']"

"EBSCO Industries, Inc.","['Estes Street, Ipswich, MA 01938']"

Episerver,"['Nashua, NH 03063']"

"Evergage, Inc.","['Suite 300 Somerville, MA 02144', '212 Elm Street, Suite 300 Somerville, MA 02144']"

Facebook,"['Willow Road Menlo Park, CA 94025']"

Hippo B.V.,"['Go to the SoCE hub Go From Monolith to Modern Headless Architecture Legacy, inflexible', 'What Bloomreach Can Do For You brX Build, Manage']"

"Hootsuite Media, Inc.","['E 49th StNew YorkNY 10017', 'Chapultepec V SeccionMexico City DIF 11000', 'Lomas de Chapultepec V SeccionMexico City DIF 11000']"

Kenshoo Ltd,"['Floor San Francisco, CA 94103', 'Suite 1650 Chicago, IL 60602', 'Floor New York, NY 10005']"

Kentico Software,"['Suite 2G Bedford, NH 03110']"

"Krux Digital, Inc.","['3rd Floor, San Francisco, CA 94105', 'Watch Now Video Capture, unify', 'Europe, Middle']"

"MadCap Software, Inc.","['San Diego, CA 92122']"

Magnolia International Ltd,"['About Magnolia Magnolia Headless CMS Open navigation menu Magnolia, click']"

OneSpot,"['Congress Avenue, Suite 2650Austin, TX 78701']"

"Quark Software, Inc.","['Today, Quark']"

"Salesforce.com, Inc.","['Yes, I', 'Europe, Middle']"

SDL PLC,"['Automotive Financial Services Government Healthcare High Tech Software Industrial Manufacturing Legal Life Sciences Retail Travel, Leisure']"

Sitecore Corp. AS,"['San Francisco, CA 94111', 'Charlotte, NC 28202', 'Plano, TX 75024', 'Holbrook, NY 11741', 'Of Prussia, PA 19406', 'Manchester, NH 03104', 'Kuala Lumpur, Wilayah 50450', 'Singapore 03898', 'Gurgaon, HR 12200', 'Munich 80539', 'Paris 75002', 'Dnipro 49000', '122002 Europe UK Headquarters 4th Floor, International']"

"Siteworx, LLC","['Washington, DC 11480']"

"Sizmek, Inc.","['NE 4th Floor Atlanta, GA 30305', 'Suite 150 Austin, TX 78746', '410 King of Prussia, PA 19406', '6th Floor New York, NY 10001', 'Suite 4000N Santa Monica, CA 90404']"

"Smartling, Inc.","['Broadway 14th FloorNew York, NY 10018']"

"Splunk, Inc.","['Brannan Street San Francisco, CA 94107', 'Santana Row San Jose, CA 95128', 'Ste 250 Plano, TX 75024', 'Suite 900 Seattle, WA 98101', 'Suite 1100 McLean, VA 22102', '5360 Legacy Place, Ste 250 Plano, TX 75024', '1730 Minor Avenue, Suite 900 Seattle, WA 98101', 'Tysons One Place, Suite 1100 McLean, VA 22102', '270 Brannan Street San Francisco, CA 94107', '500 Santana Row San Jose, CA 95128']"

Spotify AB,"['New York, NY 10007']"

"Syncfusion, Inc.","['Morrisville, NC 27560']"

TapClicks,"['Previous Next Together, we']"

"TERMINALFOUR, Inc.","['Latest Insights from our Blog Universities are promoting their brand on Zoom during COVID19 Students missing university life recreate campuses in Minecraft Coronavirus, campus']"

welocalize,"['St Suite 207 Frederick, MD 21701', 'Road Suite 102 Concord, MA 01742', 'Westheimer Suite 1420 Houston, TX 77057', 'St 4th FloorNew York, NY 10018', 'Suite 209 Portland, OR 97232']"

Wochit,"['12 E. 33rd St. New York, NY 10016 USA']"

Zoomin,"['17th floor New York, NY 10001']"

